                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                     24,               0.059616,               0.046486,               0.070046,               0.017219,                0.43376,                0.53475,                0.44507,                0.16522,                0.45093,                0.41626,                0.36281,                0.14033,               0.060782,               0.038044,               0.062089,               0.014668,              0.0098888,              0.0098888,              0.0098888
                     25,               0.062756,               0.044908,               0.065818,               0.016655,                0.47997,                 0.5859,                0.49837,                0.18068,                0.37592,                0.49121,                0.38398,                0.18734,               0.058442,               0.036897,               0.055114,               0.014071,               0.009884,               0.009884,               0.009884
                     26,               0.061294,               0.045569,                0.06721,               0.016437,                0.52119,                0.58584,                0.50522,                0.18913,                0.42988,                0.51049,                0.39419,                0.18989,               0.058964,               0.038128,               0.053104,                 0.0137,              0.0098792,              0.0098792,              0.0098792
                     27,               0.056039,               0.045044,               0.062883,               0.016091,                0.52016,                0.54496,                0.50293,                0.21914,                0.45176,                0.50318,                0.42037,                0.19824,               0.054728,               0.038329,               0.056655,                0.01345,              0.0098743,              0.0098743,              0.0098743
                     28,               0.059087,               0.042403,               0.062433,               0.015036,                0.54991,                0.58934,                0.58149,                0.23992,                0.55549,                0.49286,                0.47196,                 0.2227,                0.05452,               0.035204,               0.057014,               0.012341,              0.0098695,              0.0098695,              0.0098695
                     29,                0.05758,               0.044167,               0.062716,               0.014556,                0.59859,                0.60285,                0.60642,                 0.2461,                0.49198,                0.53764,                0.47482,                0.23765,                0.05439,               0.035573,               0.054291,               0.011494,              0.0098646,              0.0098646,              0.0098646
                     30,               0.056584,               0.043041,               0.065311,               0.014574,                0.50653,                0.60664,                0.50785,                0.19043,                0.44092,                0.53908,                0.42333,                 0.2058,               0.056699,                0.03432,               0.056439,                0.01196,              0.0098598,              0.0098598,              0.0098598
                     31,               0.057572,               0.043186,               0.064906,               0.014089,                0.59022,                0.57044,                0.58733,                0.25181,                0.57889,                0.50009,                0.50428,                0.23924,               0.053226,               0.035054,               0.055303,               0.011846,               0.009855,               0.009855,               0.009855
                     32,               0.057098,               0.041392,               0.060397,               0.013034,                0.49515,                0.58355,                 0.5412,                0.24469,                0.48483,                0.48144,                0.45086,                 0.2278,               0.055497,               0.034357,               0.058872,               0.012595,              0.0098501,              0.0098501,              0.0098501
                     33,               0.055389,               0.041357,               0.062548,                0.01316,                0.57764,                0.66466,                 0.6083,                0.28404,                0.48829,                0.57492,                0.48137,                0.24762,                0.05236,               0.033277,               0.056674,               0.011424,              0.0098453,              0.0098453,              0.0098453
                     34,                0.05489,               0.042214,               0.065763,               0.012652,                0.60721,                0.68016,                0.62481,                0.27753,                0.53783,                0.55432,                0.49184,                0.24481,               0.052125,               0.032627,               0.054455,               0.010544,              0.0098405,              0.0098405,              0.0098405
                     35,               0.054771,               0.041109,               0.058993,               0.013178,                0.65195,                0.65822,                 0.6541,                0.33183,                0.61216,                0.56582,                0.53587,                0.28671,               0.049062,               0.032092,                0.05249,              0.0095642,              0.0098356,              0.0098356,              0.0098356
                     36,               0.055499,               0.042214,               0.061426,               0.012582,                0.65957,                0.65571,                0.67603,                0.30559,                0.58012,                0.57486,                 0.5426,                0.28571,               0.049991,               0.031124,               0.050775,              0.0092463,              0.0098308,              0.0098308,              0.0098308
                     37,               0.054331,               0.039604,                0.05965,                0.01157,                0.54007,                0.66411,                0.61719,                0.28778,                0.49266,                0.53404,                0.47054,                0.25731,               0.051399,               0.031324,               0.049083,              0.0091503,               0.009826,               0.009826,               0.009826
